btn_idx,btn_dt,HA_ref,T,RH_ref,dew_ref,HA_pred,HA_pred_std,pred_points,pred_dt_first,pred_dt_last,time_err_center_s,residual
82,2026-05-26 15:46:15,11.738199106477307,29.8,39.1,14.42,10.73143,0.0,1,2026-05-26 15:46:16.000,2026-05-26 15:46:16.000,-1.0,1.0067691064773072
83,2026-05-26 15:46:17,11.85828298480444,29.8,39.5,14.57,10.895977096774192,0.3546374042144414,31,2026-05-26 15:46:16.070,2026-05-26 15:46:17.960,-0.015,0.9623058880302473
84,2026-05-26 15:46:19,11.85828298480444,29.8,39.5,14.57,10.896879285714286,0.24763483348476292,28,2026-05-26 15:46:18.020,2026-05-26 15:46:19.960,0.01,0.9614036990901536
85,2026-05-26 15:46:21,11.85828298480444,29.8,39.5,14.57,10.9219271875,0.3799206704651295,32,2026-05-26 15:46:20.020,2026-05-26 15:46:21.940,0.02,0.9363557973044401
86,2026-05-26 15:46:23,11.85828298480444,29.8,39.5,14.57,10.9074359375,0.34047622427398266,32,2026-05-26 15:46:22.020,2026-05-26 15:46:23.940,0.02,0.950847047304439
87,2026-05-26 15:46:25,11.85828298480444,29.8,39.5,14.57,10.8964053125,0.3335628172593037,32,2026-05-26 15:46:24.020,2026-05-26 15:46:25.960,0.01,0.9618776723044391
88,2026-05-26 15:46:27,11.888303954386222,29.8,39.6,14.61,10.8133128125,0.38096340661821726,32,2026-05-26 15:46:26.040,2026-05-26 15:46:27.940,0.01,1.0749911418862226
89,2026-05-26 15:46:29,11.79824104564087,29.8,39.3,14.5,10.8689453125,0.2900254661453063,32,2026-05-26 15:46:28.020,2026-05-26 15:46:30.000,-0.01,0.9292957331408704
90,2026-05-26 15:46:31,12.098450741458707,29.8,40.3,14.89,10.929998125,0.28164955400957115,32,2026-05-26 15:46:30.060,2026-05-26 15:46:31.980,-0.02,1.1684526164587083
91,2026-05-26 15:46:33,11.85828298480444,29.8,39.5,14.57,10.801761470588234,0.3455939451641703,34,2026-05-26 15:46:32.040,2026-05-26 15:46:33.970,-0.005,1.0565215142162057
92,2026-05-26 15:46:35,11.79824104564087,29.8,39.3,14.5,10.769498648648648,0.22324601447434292,37,2026-05-26 15:46:34.030,2026-05-26 15:46:35.950,0.01,1.0287423969922216
93,2026-05-26 15:46:37,11.948345893549789,29.8,39.8,14.69,10.793967857142857,0.2556769320988722,42,2026-05-26 15:46:36.010,2026-05-26 15:46:37.970,0.01,1.154378036406932
94,2026-05-26 15:46:39,11.888303954386222,29.8,39.6,14.61,10.731084146341463,0.24523311042736037,41,2026-05-26 15:46:38.010,2026-05-26 15:46:39.990,0.0,1.1572198080447595
95,2026-05-26 15:46:41,11.708178136895523,29.8,39.0,14.38,10.722289756097561,0.18172431947166284,41,2026-05-26 15:46:40.050,2026-05-26 15:46:41.990,-0.02,0.9858883807979613
