file,n,mean,std,min,max,p5,p95,range,rms
Mesures27062024_0.txt,1000,4647.269109999999,902.2579578471491,3100.29,6166.26,3225.5495,6038.398999999999,3065.9700000000003,4734.044740310203
Mesures27062024_1.txt,1000,4488.96292,861.8653585673771,3003.42,5946.89,3125.4429999999998,5822.9045,2943.4700000000003,4570.951760129766
Mesures27062024_10.txt,1000,4481.60044,868.8078973595984,2990.79,5950.91,3111.2389999999996,5824.887000000001,2960.12,4565.037750810238
Mesures27062024_100.txt,1000,19149.63839,3817.708027150126,12694.0,25720.11,13218.8855,25147.385,13026.11,19526.48317153727
Mesures27062024_101.txt,1000,19063.68142,3744.390865757605,12711.46,25432.96,13234.2145,24882.969999999998,12721.5,19427.92866568184
Mesures27062024_102.txt,1000,19531.719909999996,3857.459532247784,12955.94,26136.32,13487.1765,25569.3085,13180.38,19908.994868792844
Mesures27062024_103.txt,1000,20440.96534,4037.9061053197465,13553.18,27312.33,14136.495499999999,26736.554,13759.150000000001,20835.97249341772
Mesures27062024_104.txt,1000,20208.13797,3953.266020146833,13447.71,26979.81,14004.626,26407.806999999997,13532.100000000002,20591.1911370033
Mesures27062024_105.txt,1000,20876.86047,4136.66159188608,13852.0,27907.04,14425.255,27336.987500000003,14055.04,21282.745880398845
Mesures27062024_106.txt,1000,19742.56418,3890.2103187354446,13147.56,26382.18,13689.717,25809.190499999997,13234.62,20122.191151199582
Mesures27062024_107.txt,1000,20416.8959,4031.2853665514167,13514.21,27317.42,14083.728,26737.906499999997,13803.21,20811.076375286513
Mesures27062024_108.txt,1000,20588.453520000003,4058.709058298859,13700.61,27481.37,14263.190499999999,26905.755500000003,13780.759999999998,20984.697700112756
Mesures27062024_109.txt,1000,20157.10231,3980.9956745227396,13395.02,27011.32,13953.793,26431.124499999998,13616.3,20546.461984886257
Mesures27062024_11.txt,1000,4523.96493,880.4425465919937,3015.6,6013.98,3137.3889999999997,5887.302,2998.3799999999997,4608.843430375922
Mesures27062024_110.txt,1000,20214.53255,3999.6975320385163,13427.13,27041.87,13978.9295,26472.867,13614.74,20606.42876780944
Mesures27062024_111.txt,1000,20456.98804,4064.2096810376993,13574.06,27402.34,14127.171,26814.209,13828.28,20856.801288791714
Mesures27062024_112.txt,1000,20064.090610000003,3975.5723637106553,13310.35,26890.67,13868.2615,26295.264,13580.319999999998,20454.166021263005
Mesures27062024_113.txt,1000,20514.27616,4056.062407330052,13599.63,27493.15,14164.684,26901.559999999998,13893.520000000002,20911.41240138744
Mesures27062024_114.txt,1000,20321.687100000003,4025.5325168010736,13477.39,27215.93,14033.408500000001,26628.0005,13738.54,20716.560492372504
Mesures27062024_115.txt,1000,20515.67355,4026.9421729516425,13644.59,27347.47,14213.1405,26770.361999999997,13702.880000000001,20907.154863215277
Mesures27062024_116.txt,1000,19966.43252,3966.3620016832365,13244.42,26744.9,13782.778499999999,26160.3265,13500.480000000001,20356.582598857556
Mesures27062024_117.txt,1000,20293.19634,4001.8178547867724,13513.54,27101.88,14076.728500000001,26536.6415,13588.34,20684.012276071575
Mesures27062024_118.txt,1000,20050.65422,3943.0919298913627,13338.41,26749.12,13893.5325,26181.063000000002,13410.71,20434.693749052818
Mesures27062024_119.txt,1000,20399.96557,4019.507648469906,13571.02,27271.19,14133.6895,26699.625,13700.169999999998,20792.186921853445
Mesures27062024_12.txt,1000,4599.51325,894.3535056790114,3065.61,6112.43,3189.216,5981.5255,3046.82,4685.657939931798
Mesures27062024_120.txt,1000,20519.542579999998,4010.625630563509,13671.24,27375.34,14234.44,26785.514,13704.1,20907.815420099872
Mesures27062024_121.txt,1000,20334.45483,4007.429303655171,13509.14,27237.4,14066.637,26647.5205,13728.260000000002,20725.57702108929
Mesures27062024_122.txt,1000,20180.37043,3960.687907638964,13437.68,26922.76,13985.422,26352.639,13485.079999999998,20565.368934053575
Mesures27062024_123.txt,1000,21238.66996,4197.843525306821,14061.75,28468.35,14655.5905,27873.155000000002,14406.599999999999,21649.54946258159
Mesures27062024_124.txt,1000,21357.054159999996,4170.984258516723,14211.43,28423.56,14806.782500000001,27847.5505,14212.130000000001,21760.534737868173
Mesures27062024_125.txt,1000,20748.6893,4091.0116022891098,13739.0,27712.19,14331.1665,27143.877,13973.189999999999,21148.15556019008
Mesures27062024_126.txt,1000,20937.480840000004,4106.1335185744865,13957.31,27931.75,14528.786499999998,27344.840999999997,13974.44,21336.317311048035
Mesures27062024_127.txt,1000,20977.354549999996,4097.776756036326,13968.59,27943.28,14544.196,27373.5355,13974.689999999999,21373.843319784988
Mesures27062024_128.txt,1000,20464.64403,4060.3395465166036,13586.87,27372.72,14145.754500000001,26793.2265,13785.85,20863.55704350582
Mesures27062024_129.txt,1000,21678.23532,4250.4819336083165,14469.65,28907.14,15060.209499999999,28343.8615,14437.49,22091.004577819138
Mesures27062024_13.txt,1000,4554.19486,883.118944443488,3039.01,6044.16,3162.008,5917.202499999999,3005.1499999999996,4639.028981681985
Mesures27062024_130.txt,1000,21468.002,4240.661538543485,14297.28,28694.1,14881.567500000001,28088.746499999997,14396.819999999998,21882.83163021838
Mesures27062024_131.txt,1000,21057.201009999997,4159.714133646672,13999.89,28133.07,14589.272500000001,27560.5785,14133.18,21464.131383524582
Mesures27062024_132.txt,1000,21629.51577,4249.848903597704,14375.96,28853.01,14990.381000000001,28257.342,14477.05,22043.075287901396
Mesures27062024_133.txt,1000,21227.130009999997,4204.232788532802,14065.74,28382.67,14648.757500000002,27796.5445,14316.929999999998,21639.469073931017
Mesures27062024_134.txt,1000,21275.919,4191.397378974177,14092.79,28391.73,14680.833,27832.200999999997,14298.939999999999,21684.845890230175
Mesures27062024_135.txt,1000,21246.30625,4189.663561631606,14095.32,28297.97,14696.064499999999,27735.685,14202.650000000001,21655.45681874323
