model,split,n,rmse,mae,mape_pct,r2,coef_intercept,coef_feature,coef_T,feature_col,split_strategy,block_size,n_blocks,n_bins
HA ~ feature,all,341,0.2523349818144112,0.21555466462638515,1.3236455466602377,0.9908287606579,2.76021938320483,0.04483203649950981,,F_area_total,fit_all,,,
HA ~ feature,train_70_chrono,238,0.21174339537158338,0.17614261853023097,1.1052868824355906,0.9940488543459464,3.068262845362844,0.04351386782277653,,F_area_total,chrono,,,
HA ~ feature,test_30_chrono,103,0.4131581727156903,0.3864745324317642,2.0152508456997698,-3.1099539006854986,3.068262845362844,0.04351386782277653,,F_area_total,chrono,,,
HA ~ feature,train_70_blocked_balanced,229,0.25396281187303277,0.21757741434953304,1.3367116067191,0.9926838961471623,2.886315691477865,0.04444391037353184,,F_area_total,blocked_balanced,14.0,25.0,4.0
HA ~ feature,test_30_blocked_balanced,112,0.2521202772142469,0.21230740057383438,1.2203423348205997,0.9769219991567742,2.886315691477865,0.04444391037353184,,F_area_total,blocked_balanced,14.0,25.0,4.0
