offset_s,score,n_pairs,best_feature_HA,best_corr_HA,best_corr_Abs
32121,0.7962200641428856,255,F_top10_area,0.7984171448150016,
32122,0.8018767492560346,258,F_top10_area,0.8040260877324926,
32123,0.8100388114200155,255,F_top10_area,0.8120634570670329,
32124,0.8155613354949187,258,F_top10_area,0.8175310274554136,
32125,0.82571666060053,255,F_top10_area,0.827514494337911,
32126,0.830674706066316,258,F_top10_area,0.8323425305778656,
32127,0.8297397025500224,256,F_top10_area,0.831787254947032,
32128,0.8348182171980593,259,F_top10_area,0.8366958474215038,
32129,0.8342348347861293,257,F_top10_area,0.8362835732347159,
32130,0.8393147826112306,260,F_top10_area,0.8411234862051762,
32131,0.8396528349473746,258,F_top10_area,0.8415027283350258,
32132,0.8445682654429929,261,F_top10_area,0.8460551341905943,
32133,0.8450534161280476,259,F_top10_area,0.8467883490820536,
32134,0.8497065414774221,262,F_top10_area,0.8513754968525242,
32135,0.8500912943157144,260,F_top10_area,0.8520220272277901,
32136,0.8547081631833949,263,F_top10_area,0.8564791185866185,
32137,0.8523562221726899,261,F_top10_area,0.8544458729725809,
32138,0.8568545079393061,264,F_top10_area,0.8587488878678634,
32139,0.8540806647486592,262,F_top10_area,0.8563250208777953,
32140,0.8586856725795272,265,F_top10_area,0.860510454410637,
32141,0.8547947234343733,263,F_top10_area,0.8567996282995584,
32142,0.8593851643193147,266,F_top10_area,0.8611067273218288,
32143,0.85189673177645,264,F_top10_area,0.8539881269212617,
32144,0.8564859250214778,267,F_top10_area,0.8584107823775909,
32145,0.8490425777785553,265,F_top10_area,0.8511487729520293,
32146,0.8536620127112722,268,F_top10_area,0.8553518873235872,
32147,0.8469408271194471,266,F_top10_area,0.8488461129221009,
32148,0.851579666829684,269,F_top10_area,0.8533190240515944,
32149,0.846118119389519,267,F_top10_area,0.8480066471983903,
32150,0.8507983340854006,270,F_top10_area,0.8525810637048545,
32151,0.845973452167905,268,F_top10_area,0.8478695255903581,
32152,0.8506018485013718,271,F_top10_area,0.8524347312816561,
32153,0.8470052287929191,269,F_top10_area,0.8488460242403427,
32154,0.8518168286106089,272,F_top10_area,0.8535197727870237,
32155,0.8494894911654497,270,F_top10_area,0.8510494293840691,
32156,0.8540871071832634,273,F_top10_area,0.8556489195731538,
32157,0.8516606591402069,271,F_top10_area,0.8532217933902133,
32158,0.8561907076601284,274,F_top10_area,0.857825228043964,
32159,0.8539657689790003,272,F_top10_area,0.855596752656196,
32160,0.8583584769736085,275,F_top10_area,0.8599106679316383,
32161,0.8568003055639448,273,F_top10_area,0.8582504401282157,
32162,0.8611041488790638,276,F_top10_area,0.8625993364058742,
32163,0.8594669587291759,274,F_top10_area,0.8609109984679425,
32164,0.8637664010320252,277,F_top10_area,0.865212359857039,
32165,0.8624115453619873,275,F_top10_area,0.8637961096566429,
32166,0.8666423428600647,278,F_top10_area,0.8681479820123925,
32167,0.8649313160215966,276,F_top10_area,0.8663627054621368,
32168,0.8690600930780896,279,F_top10_area,0.8704820735636083,
32169,0.86747449642597,277,F_top10_area,0.8688369834696762,
32170,0.871561710799746,280,F_top10_area,0.8729318871399874,
32171,0.8702075257870742,278,F_top10_area,0.8715846823925574,
32172,0.8742448551254475,281,F_top10_area,0.8756821572380644,
32173,0.8725963131927295,279,F_top10_area,0.8741909720895882,
