cycle,button_file,prediction_file,n_pairs,rmse,mae,mape_pct,r2,corr_pearson,bias_mean,residual_mean,residual_std,button_period_s,half_window_s,mean_pred_points_per_button
1,1_button_test_01ul.xls,1_measure_20260526_135044_HA.txt,283.0,0.9117104389572538,0.781127222992509,5.784454083892989,0.6800175920436855,0.9091587563173702,-0.6061220333295219,0.6061220333295219,0.6822586016759719,2.0,1.0,34.091872791519435
2,2_button_test_02ul.xls,2_measure_20260526_141011_HA.txt,287.0,0.8301299636103461,0.7357785913183764,4.740436348120508,0.8789435097068218,0.9709842303276508,-0.5448731849128082,0.5448731849128082,0.6273758034923642,2.0,1.0,33.505226480836235
4,4_button_test_02ul.xls,4_measure_20260526_144610_HA.txt,759.0,1.7941981928184183,1.6020402576570325,9.494602263309062,0.5601059272673266,0.959897375355829,-1.5810370820743695,1.5810370820743695,0.848774450389017,1.0,0.5,15.515151515151516
5,5_button_test_02ul.xls,5_measure_20260526_153158_HA.txt,354.0,1.5732844518978857,1.4723164898143428,9.957256715138833,0.7123924509120944,0.9816299290010956,-1.470144467188328,1.470144467188328,0.5610601082547841,2.0,1.0,40.75423728813559
6,6_button_test_02ul.xls,6_measure_20260526_155101_HA.txt,143.0,0.9382578922278888,0.8595645927985254,6.189934413486781,0.8785862053641511,0.9488085504044778,-0.323342640497345,0.323342640497345,0.8838781761959177,2.0,1.0,37.01398601398601
7,7_button_test_02ul.xls,7_measure_20260526_160458_HA.txt,228.0,1.1712686693034795,1.0554246142910813,7.166979399654901,0.8124299757358728,0.9707308490112032,-0.9663618685872576,0.9663618685872576,0.6632832097097376,2.0,1.0,38.6578947368421
