t,I,I0,A
49,6237.72,6248.133137942857,0.001667990203327069
50,6249.64,6259.773499300929,0.001620140147749501
51,6261.69,6271.413860659,0.0015517086139557332
52,6273.89,6283.054222017073,0.001459626399875538
53,6285.85,6294.694583375145,0.0014060734451844603
54,6297.73,6306.334944733217,0.0013654239497903607
55,6309.43,6317.975306091289,0.0013534542035543253
56,6321.41,6329.615667449361,0.0012972337288340177
57,6333.57,6341.256028807433,0.0012128024056618557
58,6345.54,6352.896390165505,0.0011586294189969424
59,6357.48,6364.536751523578,0.0011093763489142738
60,6369.46,6376.17711288165,0.0010540255373717804
61,6381.32,6387.817474239721,0.001017684211420821
62,6393.39,6399.457835597794,0.0009486294421394993
63,6405.47,6411.098196955866,0.0008782690079207314
64,6417.19,6422.738558313938,0.0008642662821862241
65,6429.11,6434.37891967201,0.0008192054270153803
66,6441.02,6446.019281030082,0.000775861882910865
67,6453.07,6457.659642388155,0.0007109811309846501
68,6464.56,6469.300003746226,0.0007329604552792868
69,6476.19,6480.9403651042985,0.000733243424011072
70,6488.19,6492.580726462371,0.0006764970620536552
71,6500.22,6504.221087820442,0.0006153417774238445
72,6512.1,6515.861449178515,0.0005774424951602111
73,6524.28,6527.501810536587,0.0004936966689752147
74,6536.06,6539.1421718946585,0.0004714530469551722
75,6547.83,6550.782533252731,0.0004508161906828906
76,6559.6,6562.422894610803,0.00043025296892444225
77,6571.52,6574.063255968875,0.00038693695838114186
78,6583.22,6585.703617326947,0.00037719367634960816
79,6595.14,6597.3439786850195,0.0003341264176002408
80,6606.67,6608.984340043091,0.000350242221414149
81,6618.5,6620.624701401163,0.00032097309562762973
82,6630.33,6632.265062759236,0.000291807563121728
83,6642.11,6643.905424117307,0.00027027277493257574
84,6653.98,6655.5457854753795,0.00023528794456559814
85,6665.66,6667.186146833452,0.0002289303909022537
86,6677.53,6678.826508191524,0.0001941409986774842
87,6689.54,6690.466869549596,0.00013854545219823007
88,6701.3,6702.107230907668,0.00012045159782686526
89,6713.07,6713.74759226574,0.00010093117921056173
90,6724.86,6725.387953623813,7.850466785509256e-05
91,6736.86,6737.028314981884,2.4983876659598184e-05
92,6748.38,6748.668676339957,4.27762167749936e-05
93,6760.42,6760.42,-0.0
94,6771.46,6771.9493990561,7.227117513664355e-05
95,6783.24,6783.589760414173,5.156111198081502e-05
96,6795.27,6795.27,-0.0
97,6807.55,6807.55,-0.0
98,6819.43,6819.43,-0.0
99,6831.09,6831.09,-0.0
100,6843.13,6843.13,-0.0
101,6855.05,6855.05,-0.0
102,6867.13,6867.13,-0.0
103,6878.98,6878.98,-0.0
104,6890.51,6890.51,-0.0
105,6902.67,6902.67,-0.0
106,6914.52,6914.52,-0.0
107,6926.25,6926.25,-0.0
108,6938.19,6938.19,-0.0
109,6950.07,6950.07,-0.0
110,6962.02,6962.02,-0.0
111,6973.91,6973.91,-0.0
112,6985.92,6985.92,-0.0
113,6997.84,6997.84,-0.0
114,7009.93,7009.93,-0.0
115,7021.48,7021.48,-0.0
116,7033.62,7033.62,-0.0
117,7045.62,7045.62,-0.0
118,7057.4,7057.4,-0.0
119,7068.98,7068.98,-0.0
120,7080.67,7080.67,-0.0
121,7092.56,7092.56,-0.0
122,7104.76,7104.76,-0.0
123,7116.88,7116.88,-0.0
124,7128.65,7128.65,-0.0
125,7140.49,7140.49,-0.0
126,7152.5,7152.5,-0.0
127,7164.38,7164.38,-0.0
128,7176.22,7176.22,-0.0
129,7187.89,7187.89,-0.0
