Timestamp, Relative_Time_s, Absolute_Humidity
2026-05-26 15:57:24, 0.00, 10.95814
2026-05-26 15:57:24, 0.06, 11.04436
2026-05-26 15:57:24, 0.12, 11.04124
2026-05-26 15:57:24, 0.18, 10.84874
2026-05-26 15:57:24, 0.24, 10.62697
2026-05-26 15:57:24, 0.30, 11.00612
2026-05-26 15:57:24, 0.36, 11.26525
2026-05-26 15:57:24, 0.42, 10.77690
2026-05-26 15:57:24, 0.48, 10.50034
2026-05-26 15:57:24, 0.54, 10.96123
2026-05-26 15:57:24, 0.61, 11.11771
2026-05-26 15:57:24, 0.68, 11.21719
2026-05-26 15:57:24, 0.77, 10.95760
2026-05-26 15:57:24, 0.84, 10.92570
2026-05-26 15:57:25, 0.90, 10.87608
2026-05-26 15:57:25, 0.96, 10.71215
2026-05-26 15:57:25, 1.02, 10.36071
2026-05-26 15:57:25, 1.08, 10.97478
2026-05-26 15:57:25, 1.14, 11.12797
2026-05-26 15:57:25, 1.20, 10.50333
2026-05-26 15:57:25, 1.26, 11.12930
2026-05-26 15:57:25, 1.32, 11.37736
2026-05-26 15:57:25, 1.38, 10.88098
2026-05-26 15:57:25, 1.45, 10.79906
2026-05-26 15:57:25, 1.51, 11.45840
2026-05-26 15:57:25, 1.58, 10.85287
2026-05-26 15:57:25, 1.64, 10.88533
2026-05-26 15:57:25, 1.70, 10.73355
2026-05-26 15:57:25, 1.76, 10.66352
2026-05-26 15:57:25, 1.82, 11.26253
2026-05-26 15:57:26, 1.88, 11.29930
2026-05-26 15:57:26, 1.94, 10.65317
2026-05-26 15:57:26, 2.00, 10.57430
2026-05-26 15:57:26, 2.06, 10.64700
2026-05-26 15:57:26, 2.12, 11.08557
2026-05-26 15:57:26, 2.18, 11.12422
2026-05-26 15:57:26, 2.24, 10.49122
2026-05-26 15:57:26, 2.30, 10.88602
2026-05-26 15:57:26, 2.36, 10.78247
2026-05-26 15:57:26, 2.42, 11.04770
2026-05-26 15:57:26, 2.48, 10.99160
2026-05-26 15:57:26, 2.54, 10.71162
2026-05-26 15:57:26, 2.60, 11.43823
2026-05-26 15:57:26, 2.66, 10.83998
2026-05-26 15:57:26, 2.72, 11.07421
2026-05-26 15:57:26, 2.78, 11.20390
